[11:11:58] [main/INFO]: ModLauncher running: args [--username, Den_lille, --version, forge-47.3.33, --gameDir, C:\Users\Antoine\curseforge\minecraft\Instances\New Project, --assetsDir, C:\Users\Antoine\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 7ed56862d5bd49fa942d17b4a366804a, --accessToken, ????????, --clientId, NjZkYTA1MjctMjUyYi00YmRhLWE1MTAtODdiZWFhNGIzY2Uy, --xuid, 2535408021963911, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\Antoine\curseforge\minecraft\Install\quickPlay\java\1747991516766.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.33, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[11:11:58] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:pillager as entity.minecraft.pillager with weight 10, min day 40 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:zombified_piglin as entity.minecraft.zombified_piglin with weight 10, min day 40 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:zombie_horse as entity.minecraft.zombie_horse with weight 3, min day 40 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:wither_skeleton as entity.minecraft.wither_skeleton with weight 10, min day 50 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:phantom as entity.minecraft.phantom with weight 5, min day 50 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:vindicator as entity.minecraft.vindicator with weight 10, min day 50 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:zoglin as entity.minecraft.zoglin with weight 5, min day 40 and max day 40
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:ravager as entity.minecraft.ravager with weight 5, min day 50 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:evoker as entity.minecraft.evoker with weight 5, min day 50 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:piglin_brute as entity.minecraft.piglin_brute with weight 10, min day 60 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:cave_spider as entity.minecraft.cave_spider with weight 15, min day 60 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:zombie_horse as entity.minecraft.zombie_horse with weight 5, min day 60 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:ravager as entity.minecraft.ravager with weight 3, min day 60 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:phantom as entity.minecraft.phantom with weight 3, min day 60 and max day 0
[11:12:59] [Render thread/INFO]: loaded horde table hordes:mixed_mobs
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:pillager as entity.minecraft.pillager with weight 15, min day 0 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:vindicator as entity.minecraft.vindicator with weight 10, min day 0 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:witch as entity.minecraft.witch with weight 5, min day 20 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:ravager as entity.minecraft.ravager with weight 5, min day 30 and max day 40
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:evoker as entity.minecraft.evoker with weight 3, min day 40 and max day 40
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:illusioner as entity.minecraft.illusioner with weight 5, min day 50 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:ravager as entity.minecraft.ravager with weight 3, min day 50 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:ravager as entity.minecraft.ravager with weight 5, min day 50 and max day 0
[11:12:59] [Render thread/INFO]: loaded horde table hordes:illagers
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:skeleton as entity.minecraft.skeleton with weight 10, min day 0 and max day 20
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:skeleton as entity.minecraft.skeleton with weight 20, min day 0 and max day 30
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:skeleton_horse as entity.minecraft.skeleton_horse with weight 5, min day 20 and max day 50
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:stray as entity.minecraft.stray with weight 10, min day 20 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:wither_skeleton as entity.minecraft.wither_skeleton with weight 10, min day 40 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:skeleton_horse as entity.minecraft.skeleton_horse with weight 5, min day 40 and max day 0
[11:12:59] [Render thread/INFO]: loaded horde table hordes:skeletons
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:zombie as entity.minecraft.zombie with weight 15, min day 0 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity luminous_monsters:miner_zombie as entity.luminous_monsters.miner_zombie with weight 3, min day 0 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity legendarycreatures:forest_mojo as entity.minecraft.pig with weight 5, min day 14 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity enemyexpansion:huntsman as entity.enemyexpansion.huntsman with weight 5, min day 20 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity enemyexpansion:equestrian as entity.enemyexpansion.equestrian with weight 3, min day 30 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity alexsmobs:rocky_roller as entity.minecraft.pig with weight 4, min day 30 and max day 0
[11:12:59] [Render thread/INFO]: Loaded entity legendarycreatures:corpse_eater as entity.minecraft.pig with weight 4, min day 40 and max day 0
[11:12:59] [Render thread/INFO]: loaded horde table hordes:basic_rift
[11:12:59] [Render thread/INFO]: Loaded entity minecraft:zombie as entity.minecraft.zombie with weight 30, min day 0 and max day 0
[11:12:59] [Render thread/INFO]: loaded horde table hordes:fallback
[11:12:59] [Render thread/INFO]: loaded horde script hordes:default
[11:12:59] [Render thread/INFO]: Registered 0 gear_sets.
[11:12:59] [Render thread/INFO]: Loaded 7 cloud types
[11:12:59] [Render thread/INFO]: Reloading InsaneLib JsonFeature Json
[11:12:59] [Render thread/WARN]: No mob effect found with id stamina:vigour
[11:12:59] [Render thread/INFO]: Loaded 159 Anvil Recipes
[11:12:59] [Render thread/INFO]: Loaded 17 Item Statistics
[11:12:59] [Render thread/INFO]: Restored 0 Block Data
[11:12:59] [Render thread/INFO]: Loaded 22 Block Data
[11:12:59] [Render thread/INFO]: Loaded 23 Plant Growth Multipliers
[11:12:59] [Render thread/INFO]: Loaded 11 Livestock Data
[11:12:59] [Render thread/WARN]: Mixin apply for mod betterchunkloading failed betterchunkloading.mixins.json:ServerChunkCacheMixin from mod betterchunkloading -> net.minecraft.server.level.ServerChunkCache: org.spongepowered.asm.mixin.injection.throwables.InvalidInjectionException @At("INVOKE") on net/minecraft/server/level/ServerChunkCache::prioWaiting with priority 200 cannot inject into net/minecraft/server/level/ServerChunkCache::m_7587_(IILnet/minecraft/world/level/chunk/ChunkStatus;Z)Lnet/minecraft/world/level/chunk/ChunkAccess; merged by com.abdelaziz.canary.mixin.world.chunk_access.ServerChunkCacheMixin with priority 1000 [ -> redirect$ffo000$betterchunkloading$prioWaiting(Lnet/minecraft/server/level/ServerChunkCache;IILnet/minecraft/world/level/chunk/ChunkStatus;Z)Ljava/util/concurrent/CompletableFuture; -> Prepare]
org.spongepowered.asm.mixin.injection.throwables.InvalidInjectionException: @At("INVOKE") on net/minecraft/server/level/ServerChunkCache::prioWaiting with priority 200 cannot inject into net/minecraft/server/level/ServerChunkCache::m_7587_(IILnet/minecraft/world/level/chunk/ChunkStatus;Z)Lnet/minecraft/world/level/chunk/ChunkAccess; merged by com.abdelaziz.canary.mixin.world.chunk_access.ServerChunkCacheMixin with priority 1000 [ -> redirect$ffo000$betterchunkloading$prioWaiting(Lnet/minecraft/server/level/ServerChunkCache;IILnet/minecraft/world/level/chunk/ChunkStatus;Z)Ljava/util/concurrent/CompletableFuture; -> Prepare]
	at org.spongepowered.asm.mixin.injection.code.Injector.findTargetNodes(Injector.java:305) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.injection.code.Injector.find(Injector.java:240) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.injection.struct.InjectionInfo.prepare(InjectionInfo.java:421) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.MixinTargetContext.prepareInjections(MixinTargetContext.java:1337) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.MixinApplicatorStandard.prepareInjections(MixinApplicatorStandard.java:1053) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.MixinApplicatorStandard.applyMixin(MixinApplicatorStandard.java:395) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.MixinApplicatorStandard.apply(MixinApplicatorStandard.java:327) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.TargetClassContext.apply(TargetClassContext.java:421) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.TargetClassContext.applyMixins(TargetClassContext.java:403) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.MixinProcessor.applyMixins(MixinProcessor.java:363) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.mixin.transformer.MixinTransformer.transformClass(MixinTransformer.java:250) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.service.modlauncher.MixinTransformationHandler.processClass(MixinTransformationHandler.java:131) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at org.spongepowered.asm.launch.MixinLaunchPluginLegacy.processClass(MixinLaunchPluginLegacy.java:131) ~[mixin-0.8.5.jar:0.8.5+Jenkins-b310.git-155314e6e91465dad727e621a569906a410cd6f4]
	at cpw.mods.modlauncher.serviceapi.ILaunchPluginService.processClassWithFlags(ILaunchPluginService.java:156) ~[modlauncher-10.0.9.jar:10.0.9+10.0.9+main.dcd20f30]
	at cpw.mods.modlauncher.LaunchPluginHandler.offerClassNodeToPlugins(LaunchPluginHandler.java:88) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.ClassTransformer.transform(ClassTransformer.java:120) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.TransformingClassLoader.maybeTransformClassBytes(TransformingClassLoader.java:50) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.cl.ModuleClassLoader.readerToClass(ModuleClassLoader.java:113) ~[securejarhandler-2.1.10.jar:?]
	at cpw.mods.cl.ModuleClassLoader.lambda$findClass$15(ModuleClassLoader.java:219) ~[securejarhandler-2.1.10.jar:?]
	at cpw.mods.cl.ModuleClassLoader.loadFromModule(ModuleClassLoader.java:229) ~[securejarhandler-2.1.10.jar:?]
	at cpw.mods.cl.ModuleClassLoader.findClass(ModuleClassLoader.java:219) ~[securejarhandler-2.1.10.jar:?]
	at cpw.mods.cl.ModuleClassLoader.loadClass(ModuleClassLoader.java:135) ~[securejarhandler-2.1.10.jar:?]
	at java.lang.ClassLoader.loadClass(ClassLoader.java:525) ~[?:?]
	at java.lang.Class.getDeclaredFields0(Native Method) ~[?:?]
	at java.lang.Class.privateGetDeclaredFields(Class.java:3297) ~[?:?]
	at java.lang.Class.getDeclaredFields(Class.java:2371) ~[?:?]
	at org.openzen.zencode.java.module.converters.JavaNativeClassConverter.fillFields(JavaNativeClassConverter.java:333) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at org.openzen.zencode.java.module.converters.JavaNativeClassConverter.fillDefinition(JavaNativeClassConverter.java:173) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at org.openzen.zencode.java.module.converters.JavaNativeClassConverter.convertClass(JavaNativeClassConverter.java:62) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at org.openzen.zencode.java.module.converters.JavaNativeConverter.addClass(JavaNativeConverter.java:47) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.natives.CtJavaNativeConverter.addClass(CtJavaNativeConverter.java:42) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at org.openzen.zencode.java.module.JavaNativeModule.addClass(JavaNativeModule.java:87) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at java.util.ArrayList.forEach(ArrayList.java:1511) ~[?:?]
	at com.blamejared.crafttweaker.impl.script.scriptrun.DefaultScriptRunModuleConfigurator.lambda$createModule$3(DefaultScriptRunModuleConfigurator.java:126) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.runner.ScriptRunner.createNativeModule(ScriptRunner.java:137) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.runner.ScriptRunner.lambda$gatherModules$2(ScriptRunner.java:121) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.DefaultScriptRunModuleConfigurator.createModule(DefaultScriptRunModuleConfigurator.java:124) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.DefaultScriptRunModuleConfigurator.createModule(DefaultScriptRunModuleConfigurator.java:105) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.DefaultScriptRunModuleConfigurator.populateModules(DefaultScriptRunModuleConfigurator.java:42) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.runner.ScriptRunner.gatherModules(ScriptRunner.java:118) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.runner.ScriptRunner.populateModules(ScriptRunner.java:103) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.runner.ScriptRunner.initializeEngine(ScriptRunner.java:76) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.runner.ScriptRunner.run(ScriptRunner.java:67) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.DecoratedRunKind$DecoratedScriptRunner.run(DecoratedRunKind.java:27) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.ScriptRun.executeRun(ScriptRun.java:93) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.scriptrun.ScriptRun.execute(ScriptRun.java:58) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.ScriptReloadListener.apply(ScriptReloadListener.java:82) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at com.blamejared.crafttweaker.impl.script.ScriptReloadListener.m_5787_(ScriptReloadListener.java:39) ~[CraftTweaker-forge-1.20.1-14.0.57.jar%23355!/:14.0.57]
	at net.minecraft.server.packs.resources.SimplePreparableReloadListener.m_10789_(SimplePreparableReloadListener.java:13) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at java.util.concurrent.CompletableFuture$UniAccept.tryFire(CompletableFuture.java:718) ~[?:?]
	at java.util.concurrent.CompletableFuture$Completion.run(CompletableFuture.java:482) ~[?:?]
	at net.minecraft.server.packs.resources.SimpleReloadInstance.m_143940_(SimpleReloadInstance.java:69) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.util.thread.BlockableEventLoop.m_6367_(BlockableEventLoop.java:156) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.util.thread.ReentrantBlockableEventLoop.m_6367_(ReentrantBlockableEventLoop.java:23) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.util.thread.BlockableEventLoop.m_7245_(BlockableEventLoop.java:130) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.util.thread.BlockableEventLoop.m_18701_(BlockableEventLoop.java:139) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.Minecraft.m_18701_(Minecraft.java:5941) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldOpenFlows.m_246486_(WorldOpenFlows.java:163) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldOpenFlows.m_233122_(WorldOpenFlows.java:113) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldOpenFlows.doLoadLevel(WorldOpenFlows.java:181) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldOpenFlows.m_233145_(WorldOpenFlows.java:169) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldOpenFlows.m_233133_(WorldOpenFlows.java:65) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldSelectionList$WorldListEntry.m_101744_(WorldSelectionList.java:575) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldSelectionList$WorldListEntry.m_101704_(WorldSelectionList.java:474) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.worldselection.WorldSelectionList$WorldListEntry.m_6375_(WorldSelectionList.java:413) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.components.AbstractSelectionList.m_6375_(AbstractSelectionList.java:298) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.components.events.ContainerEventHandler.m_6375_(ContainerEventHandler.java:38) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.MouseHandler.m_168084_(MouseHandler.java:92) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.gui.screens.Screen.m_96579_(Screen.java:437) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.MouseHandler.m_91530_(MouseHandler.java:89) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.MouseHandler.m_168091_(MouseHandler.java:189) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.util.thread.BlockableEventLoop.execute(BlockableEventLoop.java:102) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.MouseHandler.m_91565_(MouseHandler.java:188) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at org.lwjgl.glfw.GLFWMouseButtonCallbackI.callback(GLFWMouseButtonCallbackI.java:43) ~[lwjgl-glfw-3.3.1.jar%23141!/:build 7]
	at org.lwjgl.system.JNI.invokeV(Native Method) ~[lwjgl-3.3.1.jar%23153!/:build 7]
	at org.lwjgl.glfw.GLFW.glfwWaitEventsTimeout(GLFW.java:3474) ~[lwjgl-glfw-3.3.1.jar%23141!/:build 7]
	at com.mojang.blaze3d.systems.RenderSystem.limitDisplayFPS(RenderSystem.java:237) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.Minecraft.m_91383_(Minecraft.java:1173) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.Minecraft.m_91374_(Minecraft.java:718) ~[client-1.20.1-20230612.114412-srg.jar%23478!/:?]
	at net.minecraft.client.main.Main.main(Main.java:218) ~[forge-47.3.33.jar:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77) ~[?:?]
	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
	at java.lang.reflect.Method.invoke(Method.java:569) ~[?:?]
	at net.minecraftforge.fml.loading.targets.CommonLaunchHandler.runTarget(CommonLaunchHandler.java:111) ~[fmlloader-1.20.1-47.3.33.jar:?]
	at net.minecraftforge.fml.loading.targets.CommonLaunchHandler.clientService(CommonLaunchHandler.java:99) ~[fmlloader-1.20.1-47.3.33.jar:?]
	at net.minecraftforge.fml.loading.targets.CommonClientLaunchHandler.lambda$makeService$0(CommonClientLaunchHandler.java:25) ~[fmlloader-1.20.1-47.3.33.jar:?]
	at cpw.mods.modlauncher.LaunchServiceHandlerDecorator.launch(LaunchServiceHandlerDecorator.java:30) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:53) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.LaunchServiceHandler.launch(LaunchServiceHandler.java:71) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.Launcher.run(Launcher.java:108) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.Launcher.main(Launcher.java:78) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:26) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.modlauncher.BootstrapLaunchConsumer.accept(BootstrapLaunchConsumer.java:23) ~[modlauncher-10.0.9.jar:?]
	at cpw.mods.bootstraplauncher.BootstrapLauncher.main(BootstrapLauncher.java:141) ~[bootstraplauncher-1.1.2.jar:?]
[11:13:00] [Render thread/WARN]: Not all defined tags for registry ResourceKey[minecraft:root / minecraft:worldgen/biome] are present in data pack: forge:is_flutterfly, iguanatweaksreborn:has_more_iron_ore, minecraft:is_copper
[11:13:00] [Render thread/INFO]: Loaded 78 block growths configurations
[11:13:00] [Render thread/INFO]: Loaded 14 liquid generators configurations
[11:13:00] [Render thread/INFO]: Updating foods tag
[11:13:00] [Render thread/WARN]: Could not get holderSet
[11:13:00] [Render thread/INFO]: Applied 17 Item Statistics (Client side: false)
[11:13:00] [Render thread/INFO]: [EMI] Recipes synchronized, waiting for tags to reload EMI...
[11:13:00] [Render thread/INFO]: [EMI] Disconnecting from server, EMI data cleared
[11:13:00] [Thread-15/INFO]: [EMI] Clearing data
[11:13:00] [Render thread/INFO]: [ETF]: emissive suffixes loaded: {_e}.
[11:13:00] [Server thread/INFO]: Starting integrated minecraft server version 1.20.1
[11:13:00] [Server thread/INFO]: Generating keypair
[11:13:00] [Server thread/INFO]: loaded team data: 1 known players, 1 teams total
[11:13:00] [Server thread/INFO]: Starting background profiler...
[11:13:00] [Server thread/INFO]: The async-profiler engine is not supported for your os/arch (windows10/amd64), so the built-in Java engine will be used instead.
[11:13:00] [Server thread/INFO]: Loaded 21 premade structure models
[11:13:00] [Server thread/INFO]: Loaded 412 entries of block conversions
[11:13:00] [Server thread/INFO]: Loaded 21 premade structure models
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:badlands) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:bamboo_jungle) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:basalt_deltas) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:beach) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:birch_forest) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:cherry_grove) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:cold_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (climaterivers:cold_river) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:crimson_forest) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:dark_forest) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:deep_cold_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:deep_dark) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:deep_frozen_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:deep_lukewarm_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:deep_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (terrablender:deferred_placeholder) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:desert) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:dripstone_caves) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:end_barrens) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:end_highlands) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:end_midlands) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:eroded_badlands) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:flower_forest) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:forest) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (yungscavebiomes:frosted_caves) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:frozen_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:frozen_peaks) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:frozen_river) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:grove) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:ice_spikes) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:jagged_peaks) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:jungle) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (yungscavebiomes:lost_caves) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:lukewarm_ocean) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (climaterivers:lukewarm_river) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:lush_caves) has no valid mobs.
[11:13:00] [Server thread/WARN]: XXX Biome (minecraft:mangrove_swamp) has no valid mobs.
